species,year,orig_grid
species16,2000,SK53G
species16,2000,SK53G
species16,2000,SK53G
species16,2001,SK53G
species16,2001,SK53G
species16,2001,SK53G
species16,2002,SK53G
species16,2002,SK53G
species16,2003,SK53G
species16,2004,SK53G
species16,2004,SK53G
species16,2004,SK53G
species16,2006,SK53G
species16,2006,SK53G
species16,2006,SK53G
species16,2006,SK53G
species16,2007,SK53G
species16,2007,SK53G
species16,2007,SK53G
species16,2007,SK53G
species16,2008,SK53G
species16,2008,SK53G
species16,2008,SK53G
species16,2008,SK53G
species16,2008,SK53G
species16,2008,SK53G
species16,2009,SK53G
species16,2009,SK53G
species16,2009,SK53G
species16,2009,SK53G
species16,2009,SK53G
species16,2010,SK53G
species16,2010,SK53G
species16,2010,SK53G
species16,2010,SK53G
species16,2010,SK53G
species16,2010,SK53G
species16,2010,SK53G
species16,2011,SK53G
species16,2011,SK53G
species16,2011,SK53G
species16,2006,SK53G
species16,2006,SK53G
species16,2007,SK53G
species16,2007,SK53G
species16,2007,SK53G
species16,2007,SK53G
species16,1998,SK53H
species16,1998,SK53H
species16,1998,SK53H
species16,1998,SK53H
species16,1998,SK53H
species16,1998,SK53H
species16,1999,SK53H
species16,1999,SK53H
species16,1999,SK53H
species16,2000,SK53H
species16,2000,SK53H
species16,2000,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2001,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2002,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2003,SK53H
species16,2004,SK53H
species16,2004,SK53H
species16,2004,SK53H
species16,2004,SK53H
species16,2004,SK53H
species16,2005,SK53H
species16,2005,SK53H
species16,2005,SK53H
species16,2005,SK53H
species16,2005,SK53H
species16,2005,SK53H
species16,2005,SK53H
species16,2006,SK53H
species16,2006,SK53H
species16,2006,SK53H
species16,2008,SK53H
species16,2009,SK53H
species16,2009,SK53H
species16,2009,SK53H
species16,2009,SK53H
species16,2009,SK53H
species16,2000,SK53K
species16,2005,SK53K
species16,2005,SK53K
species16,2005,SK53K
species16,2005,SK53K
species16,2005,SK53K
species16,2005,SK53K
species16,2005,SK53K
species16,2006,SK53K
species16,2006,SK53K
species16,2006,SK53K
species16,2006,SK53K
species16,2006,SK53K
species16,2006,SK53K
species16,2006,SK53K
species16,2007,SK53K
species16,2007,SK53K
species16,2007,SK53K
species16,2007,SK53K
species16,2007,SK53K
species16,2007,SK53K
species16,2008,SK53K
species16,2008,SK53K
species16,2008,SK53K
species16,2009,SK53K
species16,2009,SK53K
species16,2010,SK53K
species16,1999,SK53L
species16,1999,SK53L
species16,1999,SK53L
species16,1999,SK53L
species16,2000,SK53L
species16,2000,SK53L
species16,2000,SK53L
species16,2000,SK53L
species16,2000,SK53L
species16,2000,SK53L
species16,2000,SK53L
species16,2000,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2007,SK53L
species16,2008,SK53L
species16,2008,SK53L
species16,2008,SK53L
species16,2008,SK53L
species16,2008,SK53L
species16,2008,SK53L
species16,2008,SK53L
species16,2009,SK53L
species16,2009,SK53L
species16,2009,SK53L
species16,2009,SK53L
species16,2010,SK53L
species16,2010,SK53L
species16,1998,SK53M
species16,1999,SK53M
species16,2003,SK53M
species16,2003,SK53M
species16,2004,SK53M
species16,2005,SK53M
species16,2005,SK53M
species16,2006,SK53M
species16,2006,SK53M
species16,2006,SK53M
species16,2006,SK53M
species16,2007,SK53M
species16,2008,SK53M
species16,2007,SK53M
species16,2008,SK53M
species16,2008,SK53M
species16,2008,SK53M
species16,2008,SK53M
species16,2010,SK53M
species16,2010,SK53M
species16,2010,SK53M
species16,2010,SK53M
species16,2011,SK53M
species16,2011,SK53M
species16,2011,SK53M
species16,2011,SK53M
species16,2008,SK53N
species16,2002,SK53R
species16,2002,SK53R
species16,1998,SK53R
species16,1998,SK53R
species16,1998,SK53R
species16,1998,SK53R
species16,2000,SK53R
species16,2000,SK53R
species16,2000,SK53R
species16,2001,SK53R
species16,2001,SK53R
species16,2003,SK53R
species16,2000,SK53S
species16,2000,SK53S
species16,2000,SK53S
species16,2000,SK53S
species16,2000,SK53S
species16,1998,SK53T
species16,1998,SK53T
species16,1998,SK53T
species16,1999,SK53T
species16,2000,SK53T
species16,2001,SK53T
species16,2001,SK53T
species16,2001,SK53T
species16,2001,SK53T
species16,2001,SK53T
species16,2001,SK53T
species16,2002,SK53T
species16,2002,SK53T
species16,2003,SK53T
species16,2004,SK53T
species16,2005,SK53T
species16,2006,SK53T
species16,2006,SK53T
species16,2009,SK53T
species16,2010,SK53T
species16,2010,SK53T
species16,2011,SK53T
species16,2000,SK53T
species16,2006,SK53T
species16,2002,SK555315
species16,2002,SK555315
species16,2000,SK5635
species16,2009,SK5635
species16,2010,SK5635
species19,2001,SK5036
species19,2004,SK5036
species19,2000,SK535320
species19,1998,SK53A
species19,2000,SK53A
species19,2000,SK53A
species19,2000,SK53D
species19,2000,SK53D
species19,2002,SK53D
species19,2004,SK53D
species19,2004,SK53D
species19,2004,SK53D
species19,1998,SK53G
species19,2000,SK53G
species19,2000,SK53G
species19,2000,SK53G
species19,2000,SK53G
species19,2001,SK53G
species19,2002,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2006,SK53G
species19,2007,SK53G
species19,2007,SK53G
species19,2007,SK53G
species19,2007,SK53G
species19,2007,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2008,SK53G
species19,2009,SK53G
species19,2009,SK53G
species19,2009,SK53G
species19,2009,SK53G
species19,2009,SK53G
species19,2009,SK53G
species19,2009,SK53G
species19,2009,SK53G
species19,2009,SK53G
species19,2010,SK53G
species19,2010,SK53G
species19,2010,SK53G
species19,2011,SK53G
species19,2011,SK53G
species19,2011,SK53G
species19,2011,SK53G
species19,2011,SK53G
species19,1998,SK53H
species19,1998,SK53H
species19,1998,SK53H
species19,1998,SK53H
species19,1998,SK53H
species19,1998,SK53H
species19,1999,SK53H
species19,1999,SK53H
species19,1999,SK53H
species19,1999,SK53H
species19,2000,SK53H
species19,2000,SK53H
species19,2000,SK53H
species19,2000,SK53H
species19,2000,SK53H
species19,2000,SK53H
species19,2000,SK53H
species19,2000,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2001,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2002,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2003,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2004,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2005,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
species19,2006,SK53H
